User,Time of Day,Location Type,Transport Mode,Crime Rate,Streetlights,CCTV Presence,Police Presence,Area Risk Level,Escape Route Availability,Safety Plan
User14,Late Night 🌌,Crowded Market 🛍️,Bike 🏍️,High 🚨,No lights 🚫,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User15,Late Night 🌌,Commercial 🏢,Metro 🚇,High 🚨,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Safe ✅,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User16,Night 🌙,Crowded Market 🛍️,Walking 🚶‍♂️,Low ✅,No lights 🚫,No ❌,Occasional Patrol 👮,High Risk 🚨,Available 🟢,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User17,Afternoon ☀️,Residential 🏡,Public Transport 🚌,Moderate ⚠️,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User18,Night 🌙,Crowded Market 🛍️,Car 🚗,High 🚨,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Moderate Risk ⚠️,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User19,Night 🌙,Crowded Market 🛍️,Car 🚗,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User20,Afternoon ☀️,Crowded Market 🛍️,Car 🚗,Low ✅,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,None ❌,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User21,Evening 🌆,Commercial 🏢,Metro 🚇,High 🚨,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User22,Late Night 🌌,Crowded Market 🛍️,Metro 🚇,High 🚨,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Safe ✅,Limited 🔵,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User23,Evening 🌆,Slum Area 🚧,Metro 🚇,Moderate ⚠️,Well-lit 💡,No ❌,No Presence ❌,Safe ✅,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User24,Evening 🌆,Slum Area 🚧,Metro 🚇,Low ✅,Well-lit 💡,No ❌,Frequent Patrol 🚔,Safe ✅,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User25,Afternoon ☀️,Residential 🏡,Metro 🚇,Low ✅,No lights 🚫,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User26,Afternoon ☀️,Residential 🏡,Car 🚗,Low ✅,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Available 🟢,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User27,Morning 🌅,Commercial 🏢,Walking 🚶‍♂️,Moderate ⚠️,No lights 🚫,Yes 📷,No Presence ❌,High Risk 🚨,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User28,Morning 🌅,Slum Area 🚧,Metro 🚇,Low ✅,Dimly-lit 🌑,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User29,Morning 🌅,Commercial 🏢,Car 🚗,Moderate ⚠️,Well-lit 💡,No ❌,Frequent Patrol 🚔,High Risk 🚨,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User30,Late Night 🌌,Isolated 🏜️,Bike 🏍️,Critical ❌,No lights 🚫,Yes 📷,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User31,Afternoon ☀️,Slum Area 🚧,Walking 🚶‍♂️,Low ✅,No lights 🚫,Yes 📷,Occasional Patrol 👮,Safe ✅,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User32,Night 🌙,Commercial 🏢,Public Transport 🚌,Moderate ⚠️,No lights 🚫,Yes 📷,No Presence ❌,High Risk 🚨,Limited 🔵,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User33,Evening 🌆,Residential 🏡,Bike 🏍️,High 🚨,No lights 🚫,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User34,Afternoon ☀️,Commercial 🏢,Car 🚗,Critical ❌,No lights 🚫,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User35,Morning 🌅,Isolated 🏜️,Metro 🚇,Critical ❌,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,Safe ✅,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User36,Afternoon ☀️,Residential 🏡,Walking 🚶‍♂️,Moderate ⚠️,No lights 🚫,Yes 📷,No Presence ❌,Danger Zone ❌,Available 🟢,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User37,Late Night 🌌,Isolated 🏜️,Public Transport 🚌,Critical ❌,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User38,Night 🌙,Isolated 🏜️,Public Transport 🚌,Moderate ⚠️,Well-lit 💡,No ❌,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User39,Morning 🌅,Residential 🏡,Bike 🏍️,High 🚨,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,Safe ✅,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User40,Late Night 🌌,Commercial 🏢,Car 🚗,High 🚨,No lights 🚫,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User41,Afternoon ☀️,Residential 🏡,Metro 🚇,Low ✅,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User42,Afternoon ☀️,Commercial 🏢,Walking 🚶‍♂️,Moderate ⚠️,Well-lit 💡,Yes 📷,No Presence ❌,Safe ✅,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User43,Evening 🌆,Commercial 🏢,Metro 🚇,High 🚨,Dimly-lit 🌑,No ❌,No Presence ❌,Safe ✅,None ❌,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User44,Night 🌙,Isolated 🏜️,Bike 🏍️,Moderate ⚠️,Well-lit 💡,No ❌,Occasional Patrol 👮,Danger Zone ❌,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User45,Late Night 🌌,Residential 🏡,Bike 🏍️,Low ✅,Dimly-lit 🌑,Yes 📷,No Presence ❌,Safe ✅,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User46,Night 🌙,Slum Area 🚧,Bike 🏍️,Low ✅,Dimly-lit 🌑,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,Available 🟢,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User47,Evening 🌆,Commercial 🏢,Bike 🏍️,High 🚨,Well-lit 💡,Yes 📷,No Presence ❌,Safe ✅,Available 🟢,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User48,Morning 🌅,Residential 🏡,Walking 🚶‍♂️,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,High Risk 🚨,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User49,Night 🌙,Commercial 🏢,Metro 🚇,Low ✅,No lights 🚫,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User50,Evening 🌆,Residential 🏡,Bike 🏍️,Low ✅,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User51,Late Night 🌌,Isolated 🏜️,Car 🚗,Low ✅,No lights 🚫,No ❌,Frequent Patrol 🚔,Safe ✅,Available 🟢,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User52,Evening 🌆,Residential 🏡,Walking 🚶‍♂️,Low ✅,No lights 🚫,No ❌,No Presence ❌,High Risk 🚨,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User53,Evening 🌆,Commercial 🏢,Car 🚗,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User54,Afternoon ☀️,Residential 🏡,Car 🚗,High 🚨,Dimly-lit 🌑,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User55,Afternoon ☀️,Slum Area 🚧,Metro 🚇,High 🚨,No lights 🚫,Yes 📷,No Presence ❌,Safe ✅,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User56,Afternoon ☀️,Residential 🏡,Walking 🚶‍♂️,Critical ❌,Dimly-lit 🌑,Yes 📷,No Presence ❌,Safe ✅,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User57,Morning 🌅,Isolated 🏜️,Walking 🚶‍♂️,Low ✅,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Safe ✅,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User58,Afternoon ☀️,Isolated 🏜️,Bike 🏍️,Moderate ⚠️,No lights 🚫,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User59,Afternoon ☀️,Commercial 🏢,Walking 🚶‍♂️,Critical ❌,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User60,Night 🌙,Isolated 🏜️,Walking 🚶‍♂️,Moderate ⚠️,Dimly-lit 🌑,Yes 📷,No Presence ❌,Safe ✅,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User61,Late Night 🌌,Residential 🏡,Car 🚗,Low ✅,No lights 🚫,Yes 📷,Occasional Patrol 👮,High Risk 🚨,Available 🟢,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User62,Night 🌙,Commercial 🏢,Car 🚗,Moderate ⚠️,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User63,Late Night 🌌,Crowded Market 🛍️,Public Transport 🚌,Critical ❌,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,Limited 🔵,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User64,Morning 🌅,Residential 🏡,Walking 🚶‍♂️,High 🚨,No lights 🚫,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User65,Night 🌙,Commercial 🏢,Car 🚗,Moderate ⚠️,Well-lit 💡,Yes 📷,Occasional Patrol 👮,High Risk 🚨,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User66,Afternoon ☀️,Crowded Market 🛍️,Car 🚗,Moderate ⚠️,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Safe ✅,Available 🟢,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User67,Late Night 🌌,Residential 🏡,Walking 🚶‍♂️,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,Limited 🔵,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User68,Morning 🌅,Isolated 🏜️,Bike 🏍️,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User69,Morning 🌅,Slum Area 🚧,Walking 🚶‍♂️,Low ✅,No lights 🚫,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,Limited 🔵,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User70,Morning 🌅,Commercial 🏢,Car 🚗,Critical ❌,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User71,Late Night 🌌,Commercial 🏢,Metro 🚇,High 🚨,No lights 🚫,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User72,Late Night 🌌,Residential 🏡,Public Transport 🚌,Moderate ⚠️,Dimly-lit 🌑,No ❌,No Presence ❌,Danger Zone ❌,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User73,Night 🌙,Commercial 🏢,Car 🚗,Critical ❌,Dimly-lit 🌑,Yes 📷,No Presence ❌,High Risk 🚨,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User74,Afternoon ☀️,Residential 🏡,Metro 🚇,High 🚨,No lights 🚫,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User75,Afternoon ☀️,Crowded Market 🛍️,Walking 🚶‍♂️,High 🚨,Dimly-lit 🌑,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User76,Afternoon ☀️,Residential 🏡,Public Transport 🚌,High 🚨,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,Safe ✅,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User77,Late Night 🌌,Isolated 🏜️,Car 🚗,Critical ❌,No lights 🚫,Yes 📷,No Presence ❌,High Risk 🚨,None ❌,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User78,Late Night 🌌,Slum Area 🚧,Bike 🏍️,High 🚨,Well-lit 💡,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User79,Night 🌙,Isolated 🏜️,Car 🚗,Moderate ⚠️,Well-lit 💡,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Limited 🔵,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User80,Morning 🌅,Slum Area 🚧,Bike 🏍️,Low ✅,Well-lit 💡,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User81,Afternoon ☀️,Isolated 🏜️,Public Transport 🚌,Low ✅,Well-lit 💡,No ❌,Occasional Patrol 👮,High Risk 🚨,Available 🟢,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User82,Morning 🌅,Commercial 🏢,Bike 🏍️,High 🚨,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User83,Night 🌙,Crowded Market 🛍️,Bike 🏍️,Low ✅,Dimly-lit 🌑,No ❌,No Presence ❌,Safe ✅,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User84,Late Night 🌌,Residential 🏡,Bike 🏍️,Low ✅,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Safe ✅,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User85,Morning 🌅,Crowded Market 🛍️,Metro 🚇,High 🚨,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,Available 🟢,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User86,Late Night 🌌,Isolated 🏜️,Car 🚗,Low ✅,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User87,Evening 🌆,Slum Area 🚧,Walking 🚶‍♂️,Low ✅,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Danger Zone ❌,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User88,Morning 🌅,Residential 🏡,Public Transport 🚌,Low ✅,Dimly-lit 🌑,No ❌,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User89,Night 🌙,Slum Area 🚧,Car 🚗,Critical ❌,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User90,Evening 🌆,Commercial 🏢,Walking 🚶‍♂️,High 🚨,No lights 🚫,Yes 📷,No Presence ❌,Danger Zone ❌,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User91,Morning 🌅,Slum Area 🚧,Bike 🏍️,Critical ❌,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User92,Late Night 🌌,Residential 🏡,Metro 🚇,Moderate ⚠️,No lights 🚫,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User93,Evening 🌆,Crowded Market 🛍️,Metro 🚇,Low ✅,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,Safe ✅,Limited 🔵,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User94,Afternoon ☀️,Isolated 🏜️,Public Transport 🚌,Critical ❌,No lights 🚫,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User95,Evening 🌆,Residential 🏡,Car 🚗,Critical ❌,Well-lit 💡,No ❌,Frequent Patrol 🚔,Safe ✅,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User96,Evening 🌆,Commercial 🏢,Metro 🚇,Moderate ⚠️,Well-lit 💡,No ❌,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User97,Evening 🌆,Residential 🏡,Public Transport 🚌,High 🚨,No lights 🚫,No ❌,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User98,Night 🌙,Residential 🏡,Bike 🏍️,High 🚨,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User99,Morning 🌅,Slum Area 🚧,Walking 🚶‍♂️,Critical ❌,No lights 🚫,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User100,Evening 🌆,Slum Area 🚧,Bike 🏍️,Critical ❌,Dimly-lit 🌑,No ❌,No Presence ❌,Safe ✅,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User101,Morning 🌅,Isolated 🏜️,Bike 🏍️,Moderate ⚠️,Well-lit 💡,No ❌,Occasional Patrol 👮,Safe ✅,Available 🟢,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User102,Late Night 🌌,Isolated 🏜️,Bike 🏍️,Critical ❌,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Safe ✅,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User103,Evening 🌆,Slum Area 🚧,Walking 🚶‍♂️,Moderate ⚠️,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Safe ✅,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User104,Morning 🌅,Commercial 🏢,Bike 🏍️,High 🚨,No lights 🚫,Yes 📷,Occasional Patrol 👮,High Risk 🚨,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User105,Morning 🌅,Crowded Market 🛍️,Walking 🚶‍♂️,High 🚨,Well-lit 💡,No ❌,No Presence ❌,Danger Zone ❌,Available 🟢,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User106,Late Night 🌌,Slum Area 🚧,Public Transport 🚌,Moderate ⚠️,Well-lit 💡,No ❌,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User107,Night 🌙,Crowded Market 🛍️,Bike 🏍️,Low ✅,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User108,Night 🌙,Crowded Market 🛍️,Walking 🚶‍♂️,Low ✅,Dimly-lit 🌑,No ❌,No Presence ❌,High Risk 🚨,Available 🟢,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User109,Morning 🌅,Residential 🏡,Public Transport 🚌,Critical ❌,Well-lit 💡,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User110,Evening 🌆,Residential 🏡,Metro 🚇,Low ✅,No lights 🚫,Yes 📷,No Presence ❌,Danger Zone ❌,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User111,Night 🌙,Isolated 🏜️,Walking 🚶‍♂️,Low ✅,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User112,Evening 🌆,Isolated 🏜️,Public Transport 🚌,Critical ❌,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Safe ✅,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User113,Evening 🌆,Residential 🏡,Public Transport 🚌,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,Danger Zone ❌,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User114,Night 🌙,Commercial 🏢,Walking 🚶‍♂️,Critical ❌,Well-lit 💡,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User115,Night 🌙,Residential 🏡,Car 🚗,High 🚨,Well-lit 💡,Yes 📷,No Presence ❌,Danger Zone ❌,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
