Area Name,Latitude,Longitude,Streetlights,CCTV Presence,Police Stations Nearby (km),Slum Area,Road Condition Score,Crime Reports Count,Crime Types,Pedestrian Friendly,Traffic Density,Emergency Services Nearby (km),Distance from Borivali (km),Travel Time to Borivali (min),Connected Areas
IC Colony,19.232649713061264,72.84912002048686,No,Yes,0.7,No,5,29,Accident,Yes,Low,0.7,0.8,1.9,"Eksar, Mandapeshwar, Shimpoli"
Rawalpada,19.23733741555004,72.87022855537622,No,Yes,1.4,No,3,20,Accident,Yes,Medium,1.9,1.64,3.9,
Chikuwadi,19.24322837870032,72.844933945581,No,Yes,1.6,No,1,32,None,Yes,High,1.5,1.85,6.3,
Eksar,19.24182490592386,72.86994861400936,Yes,Yes,2.7,Yes,2,44,Vandalism,No,Medium,0.5,1.9,4.3,"Borivali Station West, Mandapeshwar, IC Colony"
Dattapada,19.264618705374968,72.85851198655509,Yes,No,1.5,Yes,4,11,None,No,Low,0.4,3.78,8.6,
Palm Grove,19.26788892395847,72.87556590137095,No,No,1.0,No,5,30,Chain Snatching,No,Low,0.4,4.6,10.5,
Giles Nagar,19.26104905354368,72.85998073538468,Yes,Yes,1.6,No,3,16,Vandalism,Yes,Medium,1.8,3.4,7.9,
IC Colony,19.26874259726145,72.8698188003618,Yes,Yes,1.0,No,5,5,Burglary,No,Low,0.3,4.46,10.3,"Eksar, Mandapeshwar, Shimpoli"
Shivaji Park,19.263222440305373,72.85436879479646,No,Yes,0.3,No,1,27,Chain Snatching,Yes,High,1.9,3.63,7.3,
Solis Nagar,19.25104626326952,72.87394609331913,Yes,No,1.2,Yes,3,37,Theft,No,Medium,1.8,2.93,6.2,
River Side,19.25841084583545,72.84215503282236,No,Yes,0.3,Yes,5,0,None,No,Low,1.2,3.43,7.0,
Frye Nagar,19.26509294838809,72.85258588930242,Yes,No,1.9,No,4,6,Theft,No,High,1.3,3.85,10.3,
Giles Nagar,19.26578783661112,72.85816797617298,Yes,Yes,1.7,No,1,6,Chain Snatching,No,Low,1.7,3.91,10.0,
Scott Nagar,19.261420297017708,72.86364796982123,No,Yes,0.3,No,4,1,Burglary,Yes,Low,1.5,3.51,7.4,
Chikuwadi,19.2450287167873,72.85706355896784,Yes,No,2.1,No,2,23,Burglary,No,Medium,0.4,1.61,5.9,
Padilla Nagar,19.243068077011483,72.85814803883432,No,No,0.8,No,3,37,Vandalism,No,Low,1.6,1.4,5.4,
Campbell Nagar,19.250751039314803,72.8616071875178,No,Yes,2.1,No,4,23,Vandalism,No,Medium,0.9,2.31,7.0,
Pearson Nagar,19.231957893266625,72.86520307736147,No,No,2.5,Yes,2,31,Theft,Yes,Low,0.2,0.94,4.0,
Richard Nagar,19.263901715573077,72.87589262987501,Yes,No,2.5,Yes,5,32,Accident,Yes,Low,2.0,4.23,10.4,
Dahanukar Wadi,19.266823116098116,72.86057790600856,Yes,No,0.5,No,4,41,Chain Snatching,No,Medium,0.2,4.04,10.7,
Borivali Station West,19.235222121556838,72.84633930750822,No,Yes,2.2,No,3,10,Vandalism,Yes,Medium,1.0,1.18,3.6,"Eksar, Kandarpada, Shimpoli"
Peaceful Valley,19.23762320650436,72.86385842522456,No,No,2.8,Yes,3,27,None,Yes,High,0.1,1.11,3.0,
Patterson Nagar,19.26421277595442,72.84114854151923,Yes,No,0.6,Yes,1,7,Chain Snatching,Yes,Low,1.3,4.06,8.7,
Mandapeshwar,19.257281826339337,72.87717382335313,Yes,Yes,0.2,No,5,16,None,Yes,High,0.3,3.68,8.3,"Eksar, IC Colony, Shimpoli"
SFIT (Via Pai Nagar),19.241727213005618,72.8636033005848,No,No,2.8,No,2,20,Vandalism,No,Medium,1.6,1.46,4.8,
River Side,19.247346714839185,72.86321193547751,Yes,No,2.5,Yes,2,19,Theft,Yes,Medium,0.1,2.0,4.7,
Chikuwadi,19.257690044930484,72.87882469260599,Yes,Yes,1.9,Yes,1,28,Burglary,Yes,High,0.9,3.82,9.1,
Silver Oaks,19.230586860902847,72.8446726037938,No,No,2.1,No,3,10,Theft,No,High,1.9,1.23,5.3,
Silver Oaks,19.258870610097222,72.86592487332686,No,Yes,1.0,No,1,4,Theft,No,Medium,0.7,3.3,8.5,
Shailendra Nagar,19.266879195197564,72.85527192936637,Yes,Yes,2.3,No,1,41,Vandalism,No,Low,1.4,4.03,11.0,
Ward Nagar,19.24007260093338,72.85689237639635,No,No,1.7,No,3,17,Burglary,Yes,Medium,1.0,1.06,4.6,
Western Heights,19.234251550054584,72.87337995707843,Yes,Yes,0.2,Yes,2,22,Accident,No,High,1.4,1.83,5.0,
SFIT (Via Eksar Metro),19.26692611595228,72.84018977000173,Yes,Yes,2.5,Yes,2,31,Vandalism,No,Low,0.7,4.38,9.8,
Dattapada,19.258087952551133,72.84924065343218,Yes,Yes,2.4,No,5,29,None,No,Medium,0.7,3.15,7.6,
Lindsey Nagar,19.241767754191056,72.86223152998998,No,Yes,1.7,Yes,2,36,Theft,Yes,High,0.3,1.39,4.0,
Dattapada,19.24072701643794,72.87420421723513,Yes,Yes,1.5,Yes,4,30,Burglary,No,Medium,1.2,2.19,5.0,
Potts Nagar,19.248959895015677,72.84439468237673,Yes,Yes,1.9,No,4,7,Accident,Yes,Low,1.7,2.4,7.8,
Kandarpada,19.234876398556896,72.85868948442214,Yes,No,0.9,No,5,24,Chain Snatching,Yes,Low,0.8,0.54,2.6,"Borivali Station West, Dahisar Check Naka"
Johnson Nagar,19.26649244146217,72.84765359952159,No,Yes,0.6,No,1,29,Theft,Yes,Medium,2.0,4.09,8.3,
Borivali Station West,19.249711648014983,72.85784035780244,Yes,Yes,0.3,No,1,9,Theft,Yes,Medium,1.9,2.13,5.7,"Eksar, Kandarpada, Shimpoli"
Peaceful Valley,19.26168148935886,72.8786525865263,Yes,No,1.7,No,2,43,Vandalism,No,Medium,1.2,4.17,11.2,
IC Colony,19.26388132012688,72.87248573430351,No,No,1.2,No,1,4,None,Yes,Low,0.5,4.06,10.6,"Eksar, Mandapeshwar, Shimpoli"
SFIT (Direct Route),19.23973172724305,72.86459430445619,No,No,1.6,No,3,39,Chain Snatching,Yes,High,0.5,1.34,4.1,
Chikuwadi,19.263663160217927,72.87004417772219,Yes,Yes,1.6,Yes,5,39,Chain Snatching,No,Low,0.6,3.94,8.1,
Eksar,19.252925735320343,72.86772159018444,No,Yes,1.5,No,2,39,Burglary,No,Low,0.7,2.75,6.4,"Borivali Station West, Mandapeshwar, IC Colony"
Rawalpada,19.24336718911417,72.86061791989349,No,Yes,2.3,Yes,2,22,Vandalism,No,High,1.9,1.49,5.0,
Johnson Nagar,19.260795884455064,72.85591114854799,No,Yes,1.1,No,3,46,Theft,No,Medium,0.8,3.35,8.0,
Green Valley,19.240131121878413,72.86438133550543,No,Yes,0.6,Yes,3,3,None,No,High,1.6,1.36,5.3,
Western Heights,19.25388283181505,72.86040653504061,No,No,0.5,Yes,3,31,Accident,No,Medium,1.5,2.62,6.2,
Shimpoli,19.268995457138168,72.87419324111008,Yes,No,1.7,No,1,16,None,Yes,High,1.8,4.65,9.5,"Borivali Station West, Mandapeshwar, IC Colony"
Padilla Nagar,19.26408354853602,72.86330002227544,Yes,Yes,2.4,No,5,46,Theft,Yes,Medium,1.7,3.79,9.0,
Borivali Station West,19.26052503101037,72.85082251003885,Yes,Yes,2.0,Yes,4,16,Vandalism,Yes,Medium,1.2,3.37,7.9,"Eksar, Kandarpada, Shimpoli"
Shimpoli,19.248666948005635,72.85147960415604,No,No,0.4,Yes,3,47,None,No,Medium,0.7,2.08,6.0,"Borivali Station West, Mandapeshwar, IC Colony"
Frye Nagar,19.242998808691983,72.85525960682315,No,Yes,2.1,No,5,41,Theft,Yes,High,2.0,1.39,5.7,
Borivali Station West,19.265442066377886,72.85978341421578,Yes,No,0.5,Yes,5,43,Accident,Yes,Low,0.9,3.88,9.2,"Eksar, Kandarpada, Shimpoli"
Peaceful Valley,19.26436079846464,72.85926420041756,Yes,Yes,1.1,Yes,2,12,Theft,Yes,Medium,1.7,3.76,10.5,
Kandarpada,19.24494496891653,72.85480059710066,Yes,No,0.2,No,2,46,Vandalism,Yes,Low,1.9,1.61,5.8,"Borivali Station West, Dahisar Check Naka"
Ellis Nagar,19.24654703278179,72.87676112671194,No,No,0.6,No,5,25,Burglary,No,Low,0.6,2.78,7.5,
Golden Nest,19.23093507476732,72.86066250981938,Yes,Yes,2.4,Yes,5,32,Theft,Yes,Medium,0.8,0.45,3.7,
Mountain View,19.2655360105023,72.84985190765943,No,Yes,2.9,Yes,3,31,None,Yes,Low,0.3,3.94,9.3,
Western Heights,19.24098470984706,72.8704584765528,Yes,Yes,1.3,No,2,41,Burglary,No,High,1.5,1.88,5.7,
Royal Palms,19.260252235929443,72.87580229326022,No,Yes,1.0,No,3,13,Vandalism,No,Low,1.2,3.87,9.9,
River Side,19.234887094031528,72.87261907551407,Yes,Yes,1.2,No,3,9,Theft,No,Low,0.3,1.77,5.5,
Anand Nagar,19.246005245128263,72.85318033409337,No,No,1.3,Yes,1,4,Vandalism,No,High,1.1,1.75,4.3,
Royal Palms,19.266158072614648,72.87776204136541,No,Yes,1.8,Yes,3,16,Accident,No,Low,1.7,4.54,11.9,
River Side,19.248512878950702,72.87809739325617,Yes,Yes,1.2,Yes,2,4,Burglary,Yes,Medium,0.8,3.03,7.6,
Rawalpada,19.252874403112692,72.85461171558846,Yes,No,1.0,Yes,2,19,Chain Snatching,Yes,High,1.6,2.48,6.8,
Mandapeshwar,19.265710483708677,72.86326737427926,Yes,No,2.1,Yes,4,15,Theft,Yes,Low,0.5,3.96,10.0,"Eksar, IC Colony, Shimpoli"
Green Acres,19.23757043431556,72.84318940425591,No,Yes,2.1,No,5,49,Theft,No,High,0.7,1.59,4.9,
Green Acres,19.235541356117125,72.87078148423407,Yes,No,1.9,No,2,31,None,Yes,Medium,1.7,1.61,5.8,
Green Valley,19.23058065828239,72.87421721955346,No,No,1.3,No,1,15,None,No,High,0.8,1.87,5.7,
Rawalpada,19.26399204059569,72.87274102081895,No,No,2.0,Yes,3,30,Burglary,Yes,Medium,1.6,4.09,9.4,
Hill View,19.25650092939861,72.85513070892017,No,No,2.3,Yes,3,38,None,No,Medium,0.9,2.88,8.7,
Dahisar Check Naka,19.24113504363693,72.84091648144349,Yes,No,1.3,No,3,27,Theft,No,High,0.3,2.01,6.3,
Lake View,19.23085402977771,72.8445894094572,No,Yes,2.5,Yes,3,9,Accident,Yes,Medium,0.7,1.24,5.0,
Sunder Nagar,19.26049403099188,72.87301290072982,No,Yes,2.2,Yes,1,26,None,No,High,1.2,3.75,8.9,
Hill View,19.25690371292222,72.87878776663831,Yes,Yes,1.2,Yes,5,17,Vandalism,Yes,High,1.2,3.75,9.8,
Giles Nagar,19.25219275089552,72.85481592075479,Yes,Yes,0.9,Yes,3,15,Theft,Yes,Medium,2.0,2.41,6.3,
Rawalpada,19.259158445770133,72.85742098950655,No,No,2.0,Yes,2,11,Burglary,Yes,Medium,1.9,3.17,7.9,
Simmons Nagar,19.262069705470346,72.85545140964442,Yes,No,2.0,No,2,50,Vandalism,Yes,High,1.1,3.5,8.2,
Giles Nagar,19.26702241467614,72.87677224028994,Yes,No,2.2,Yes,2,8,Accident,Yes,Low,1.7,4.58,10.6,
Shivaji Park,19.24541851536788,72.86933808176431,Yes,No,2.0,No,4,20,Burglary,No,High,0.2,2.14,4.4,
Ward Nagar,19.25721481825339,72.84259434997678,No,Yes,1.0,No,3,38,Burglary,Yes,High,1.8,3.29,7.3,
Campbell Nagar,19.238130130474445,72.86596251977558,Yes,No,2.0,No,4,21,Vandalism,No,High,1.2,1.31,2.9,
Frye Nagar,19.23774203001536,72.85689242056382,Yes,No,1.8,No,1,22,Accident,No,Low,0.5,0.8,2.0,
Ward Nagar,19.26914999860709,72.85917332438643,No,Yes,2.1,No,3,31,Burglary,Yes,High,1.5,4.29,9.6,
Royal Palms,19.230219461836413,72.86804401559758,Yes,No,1.2,No,5,8,None,No,High,1.7,1.22,3.0,
Lindsey Nagar,19.258854372185176,72.85516822541226,No,No,2.6,Yes,2,39,Burglary,No,Low,1.9,3.14,7.1,
Shailendra Nagar,19.267562716331405,72.85243884903052,Yes,Yes,1.2,No,5,30,Accident,Yes,High,1.8,4.12,9.9,
Gorai,19.239755222158127,72.85964687803246,Yes,Yes,2.4,No,1,26,Accident,Yes,Medium,1.9,1.08,3.2,
Western Heights,19.268957143855957,72.85908201584884,Yes,Yes,0.9,No,4,49,Accident,Yes,High,1.9,4.27,10.1,
Ward Nagar,19.2601025411656,72.86477615207338,No,Yes,2.5,No,1,48,Vandalism,No,Low,1.2,3.39,7.9,
Green Valley,19.24808392173201,72.84775033911635,Yes,No,0.2,No,4,49,Vandalism,No,High,1.1,2.15,6.8,
Palm Grove,19.258587586384383,72.86251386104317,No,Yes,0.9,Yes,4,19,Chain Snatching,Yes,High,1.1,3.17,6.5,
Dattapada,19.24377436309176,72.8795302931471,No,No,2.3,No,5,10,Vandalism,Yes,Medium,1.8,2.84,7.9,
Richard Nagar,19.26472074024955,72.85197806687437,No,No,0.7,No,3,9,Accident,Yes,High,0.1,3.82,8.4,
Palm Grove,19.26083672442769,72.85026709618506,Yes,No,1.4,Yes,2,24,Vandalism,Yes,Low,1.2,3.42,8.4,
Mandapeshwar,19.25457664695828,72.8606431974003,No,Yes,2.8,No,4,30,Theft,Yes,Low,0.5,2.7,6.5,"Eksar, IC Colony, Shimpoli"
Borivali Station West,19.24641613005167,72.87071674616699,No,No,2.4,Yes,4,33,None,No,Medium,1.2,2.32,5.0,"Eksar, Kandarpada, Shimpoli"
Sunder Nagar,19.245730613127627,72.85455570865766,Yes,No,2.5,No,3,50,Vandalism,No,Medium,0.1,1.7,3.8,
Giles Nagar,19.230406643176902,72.85226665201192,Yes,No,0.8,Yes,4,2,Burglary,No,High,1.6,0.43,1.8,
River Side,19.269604477879646,72.85633104100886,No,Yes,2.1,Yes,5,22,Burglary,Yes,Low,1.2,4.33,10.2,
SFIT (Direct Route),19.231345758852587,72.87876567476478,Yes,Yes,1.1,Yes,5,8,Accident,No,Medium,0.2,2.35,4.9,
SFIT (Direct Route),19.234337270352096,72.84395507034954,Yes,No,1.5,Yes,1,15,Vandalism,Yes,Low,1.2,1.38,2.8,
SFIT (Direct Route),19.23129850590287,72.84438397109871,Yes,No,1.4,No,5,3,None,Yes,High,1.1,1.27,4.1,
Giles Nagar,19.234647272014147,72.84726452794393,No,No,2.7,No,5,16,Burglary,Yes,High,1.7,1.06,5.0,
Kandarpada,19.260660948256,72.85146603934605,Yes,Yes,1.3,Yes,2,37,None,No,High,0.2,3.38,9.7,"Borivali Station West, Dahisar Check Naka"
Ocean View,19.230237718219925,72.86422565707116,No,Yes,0.2,No,3,19,Theft,Yes,High,1.9,0.82,2.0,
Simmons Nagar,19.236902644660617,72.8631434667089,Yes,No,1.8,No,5,12,Vandalism,Yes,Low,1.8,1.0,4.3,
Richard Nagar,19.252578939215518,72.84575706338195,Yes,No,2.5,Yes,2,32,Theft,No,Low,1.8,2.69,6.4,
Giles Nagar,19.25294173730724,72.87332263385149,Yes,Yes,0.4,Yes,2,4,Theft,No,Low,0.9,3.06,8.3,
Shailendra Nagar,19.23240408280872,72.86686647094197,Yes,Yes,2.3,Yes,2,26,Vandalism,Yes,High,0.7,1.12,3.3,
Borivali Station West,19.237058968704854,72.84158353582752,No,No,2.0,No,2,30,Chain Snatching,Yes,High,0.7,1.72,5.7,"Eksar, Kandarpada, Shimpoli"
Chikuwadi,19.245375198232253,72.86624064299687,Yes,Yes,0.2,No,4,32,Accident,No,High,0.7,1.94,6.8,
Golden Nest,19.2421865210209,72.8736727255418,No,No,1.2,Yes,2,35,Chain Snatching,No,Low,1.3,2.23,7.0,
